"name","address","cuisine","cost","url","address_geo","lon","lat","neighborhood","political","snippet","ckkr","date","popup"
"Belarussian Xata","1655 Sheepshead Bay Road, Sheepshead Bay","Eastern European","$$","https://www.nytimes.com/2018/02/22/dining/belarussian-xata-review-sheepshead-bay.html","1655 Sheepshead Bay Road, Sheepshead Bay, New York, NY",-73.9519057,40.5864966,"Sheepshead Bay","Brooklyn","There is an odd magic at work at the Sheepshead Bay, Brooklyn restaurant, where the food grows increasingly rich as the meal goes on.","Hungry City",2018-02-22,"<a href=""https://www.nytimes.com/2018/02/22/dining/belarussian-xata-review-sheepshead-bay.html"" target=""_blank"">Belarussian Xata</a><br><strong>Cuisine: </strong>Eastern European<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2018-02-22<br><strong>Address: </strong>1655 Sheepshead Bay Road, Sheepshead Bay<br>There is an odd magic at work at the Sheepshead Bay, Brooklyn restaurant, where the food grows increasingly rich as the meal goes on."
"Taqueria El Sinaloense","40-08 Case Street, Elmhurst","Mexican","$","https://www.nytimes.com/2018/02/15/dining/taqueria-el-sinaloense-review-mexican-queens.html","40-08 Case Street, Elmhurst, New York, NY",-73.8767665,40.7481097,"Elmhurst","Queens","Only a few dishes on the menu owe allegiance to the northwestern Mexican state of Sinaloa, but they are reason alone to go.","Hungry City",2018-02-15,"<a href=""https://www.nytimes.com/2018/02/15/dining/taqueria-el-sinaloense-review-mexican-queens.html"" target=""_blank"">Taqueria El Sinaloense</a><br><strong>Cuisine: </strong>Mexican<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-02-15<br><strong>Address: </strong>40-08 Case Street, Elmhurst<br>Only a few dishes on the menu owe allegiance to the northwestern Mexican state of Sinaloa, but they are reason alone to go."
"Kebab Empire","934 Eighth Avenue, Midtown West","Asian, Chinese","$","https://www.nytimes.com/2018/02/08/dining/kebab-empire-review.html","934 Eighth Avenue, Midtown West, New York, NY",-73.983485,40.7655274,"Midtown West","Manhattan","Kudret Yakup opened a Manhattan restaurant in December, as what may be the first U.S. franchise-in-the-making to showcase the Muslim minority’s food.","Hungry City",2018-02-08,"<a href=""https://www.nytimes.com/2018/02/08/dining/kebab-empire-review.html"" target=""_blank"">Kebab Empire</a><br><strong>Cuisine: </strong>Asian, Chinese<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-02-08<br><strong>Address: </strong>934 Eighth Avenue, Midtown West<br>Kudret Yakup opened a Manhattan restaurant in December, as what may be the first U.S. franchise-in-the-making to showcase the Muslim minority’s food."
"Serengeti Kitchen","22 East 125th Street, Harlem","African","$$","https://www.nytimes.com/2018/02/01/dining/serengeti-kitchen-review.html","22 East 125th Street, Harlem, New York, NY",-73.9412978,40.8057852,"East Harlem","Manhattan","Nostalgia runs strong for Liberia and the chef Doughba Caranda-Martin III’s memories of life on his grandmother’s farm at this pan-African restaurant.","Hungry City",2018-02-01,"<a href=""https://www.nytimes.com/2018/02/01/dining/serengeti-kitchen-review.html"" target=""_blank"">Serengeti Kitchen</a><br><strong>Cuisine: </strong>African<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2018-02-01<br><strong>Address: </strong>22 East 125th Street, Harlem<br>Nostalgia runs strong for Liberia and the chef Doughba Caranda-Martin III’s memories of life on his grandmother’s farm at this pan-African restaurant."
"Happy Stony Noodle","83-47 Dongan Avenue, Elmhurst","Chinese, Taiwanese","$","https://www.nytimes.com/2018/01/25/dining/happy-stony-noodle-review-queens.html","83-47 Dongan Avenue, Elmhurst, New York, NY",-73.8797405,40.7405451,"Elmhurst","Queens","Growing up in Taiwan, Chih Shen Hsu fell in love with a soup; when he grew up, he took over the restaurant, and brought its recipes to New York.","Hungry City",2018-01-25,"<a href=""https://www.nytimes.com/2018/01/25/dining/happy-stony-noodle-review-queens.html"" target=""_blank"">Happy Stony Noodle</a><br><strong>Cuisine: </strong>Chinese, Taiwanese<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-01-25<br><strong>Address: </strong>83-47 Dongan Avenue, Elmhurst<br>Growing up in Taiwan, Chih Shen Hsu fell in love with a soup; when he grew up, he took over the restaurant, and brought its recipes to New York."
"Cafe Booqoo","478 Smith Street, Carroll Gardens","Creole, Southern","$","https://www.nytimes.com/2018/01/18/dining/cafe-booqoo-review-brooklyn.html","478 Smith Street, Carroll Gardens, New York, NY",-73.9979471,40.674705,"Carroll Gardens","Brooklyn","Matt Pace, who grew up in New Orleans East, prepares beignets, jambalaya, gumbo and, of course, po’ boys at his Carroll Gardens, Brooklyn, cafe.","Hungry City",2018-01-18,"<a href=""https://www.nytimes.com/2018/01/18/dining/cafe-booqoo-review-brooklyn.html"" target=""_blank"">Cafe Booqoo</a><br><strong>Cuisine: </strong>Creole, Southern<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-01-18<br><strong>Address: </strong>478 Smith Street, Carroll Gardens<br>Matt Pace, who grew up in New Orleans East, prepares beignets, jambalaya, gumbo and, of course, po’ boys at his Carroll Gardens, Brooklyn, cafe."
"Amdo Kitchen","68-12 37th Rd, Jackson Heights","Tibetan","$","https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html","68-12 37th Rd, Jackson Heights, New York, NY",-73.8968995,40.7474268,"Woodside","Queens","Found on the same stretch of Jackson Heights, where momos are a common language, Amdo Kitchen and Potala offer a simple warmth in deep cold.","Hungry City",2018-01-16,"<a href=""https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html"" target=""_blank"">Amdo Kitchen</a><br><strong>Cuisine: </strong>Tibetan<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-01-16<br><strong>Address: </strong>68-12 37th Rd, Jackson Heights<br>Found on the same stretch of Jackson Heights, where momos are a common language, Amdo Kitchen and Potala offer a simple warmth in deep cold."
"Potala","37-65 74th Street, Jackson Heights","Tibetan","$","https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html","37-65 74th Street, Jackson Heights, New York, NY",-73.891349,40.7471617,"Flushing","Queens","Found on the same stretch of Jackson Heights, where momos are a common language, Amdo Kitchen and Potala offer a simple warmth in deep cold.","Hungry City",2018-01-16,"<a href=""https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html"" target=""_blank"">Potala</a><br><strong>Cuisine: </strong>Tibetan<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-01-16<br><strong>Address: </strong>37-65 74th Street, Jackson Heights<br>Found on the same stretch of Jackson Heights, where momos are a common language, Amdo Kitchen and Potala offer a simple warmth in deep cold."
"Uncle Boons Sister","203 Mott Street, Nolita","Southeast Asian, Thai","$","https://www.nytimes.com/2017/12/14/dining/uncle-boons-sister-review-thai-food-nyc.html","203 Mott Street, Nolita, New York, NY",-73.9956894,40.7214319,"Lower Manhattan","Manhattan","In NoLIta, Uncle Boons Sister is the comfort-food annex of the chefs Ann Redding and Matt Danzer.","Hungry City",2017-12-14,"<a href=""https://www.nytimes.com/2017/12/14/dining/uncle-boons-sister-review-thai-food-nyc.html"" target=""_blank"">Uncle Boons Sister</a><br><strong>Cuisine: </strong>Southeast Asian, Thai<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-12-14<br><strong>Address: </strong>203 Mott Street, Nolita<br>In NoLIta, Uncle Boons Sister is the comfort-food annex of the chefs Ann Redding and Matt Danzer."
"Khao Nom","76-20 Woodside Avenue, Elmhurst","Southeast Asian, Thai","$","https://www.nytimes.com/2017/11/30/dining/khao-nom-review-thai-desserts-queens.html","76-20 Woodside Avenue, Elmhurst, New York, NY",-73.8880727,40.7432479,"Elmhurst","Queens","Khao Nom, linked to another restaurant in Queens, is a place to finish off your meal.","Hungry City",2017-11-30,"<a href=""https://www.nytimes.com/2017/11/30/dining/khao-nom-review-thai-desserts-queens.html"" target=""_blank"">Khao Nom</a><br><strong>Cuisine: </strong>Southeast Asian, Thai<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-11-30<br><strong>Address: </strong>76-20 Woodside Avenue, Elmhurst<br>Khao Nom, linked to another restaurant in Queens, is a place to finish off your meal."
"Tito Rad’s Grill","49-10 Queens Boulevard, Woodside","Philippine, Southeast Asian","$$","https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html","49-10 Queens Boulevard, Woodside, New York, NY",-73.9155562,40.7424626,"Woodside","Queens","Tito Rad’s Grill in Queens is in the vanguard of new Filipino cooking.","Hungry City",2017-11-24,"<a href=""https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html"" target=""_blank"">Tito Rad’s Grill</a><br><strong>Cuisine: </strong>Philippine, Southeast Asian<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-11-24<br><strong>Address: </strong>49-10 Queens Boulevard, Woodside<br>Tito Rad’s Grill in Queens is in the vanguard of new Filipino cooking."
"AbuQir Seafood","24-19 Steinway Street, Astoria","Middle Eastern","$$","https://www.nytimes.com/2017/11/16/dining/abuqir-review-seafood-restaurant-queens.html","24-19 Steinway Street, Astoria, New York, NY",-73.910994,40.768368,"Long Island City","Queens","AbuQir in the Little Egypt section of Astoria lets you pick your fish and how it is prepared.","Hungry City",2017-11-16,"<a href=""https://www.nytimes.com/2017/11/16/dining/abuqir-review-seafood-restaurant-queens.html"" target=""_blank"">AbuQir Seafood</a><br><strong>Cuisine: </strong>Middle Eastern<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-11-16<br><strong>Address: </strong>24-19 Steinway Street, Astoria<br>AbuQir in the Little Egypt section of Astoria lets you pick your fish and how it is prepared."
"PappaRich","39-16 Prince Street, Flushing","Malaysian, Southeast Asian","$$","https://www.nytimes.com/2017/11/09/dining/papparich-review-malaysian-food-queens.html","39-16 Prince Street, Flushing, New York, NY",-73.8322441,40.7590931,"Flushing","Queens","PappaRich in Flushing is part of a worldwide chain, but don’t let that scare you off.","Hungry City",2017-11-09,"<a href=""https://www.nytimes.com/2017/11/09/dining/papparich-review-malaysian-food-queens.html"" target=""_blank"">PappaRich</a><br><strong>Cuisine: </strong>Malaysian, Southeast Asian<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-11-09<br><strong>Address: </strong>39-16 Prince Street, Flushing<br>PappaRich in Flushing is part of a worldwide chain, but don’t let that scare you off."
"Margarita’s","915 Avenue Saint John, Longwood","Latin","$","https://www.nytimes.com/2017/11/02/dining/margaritas-review-dominican-food-bronx-alcapurrias.html","915 Avenue Saint John, Longwood, New York, NY",-73.9025749,40.8158755,"Woodstock","Bronx","Margarita’s, serving Dominican cuisine, is a permanent version of what once was a food truck.","Hungry City",2017-11-02,"<a href=""https://www.nytimes.com/2017/11/02/dining/margaritas-review-dominican-food-bronx-alcapurrias.html"" target=""_blank"">Margarita’s</a><br><strong>Cuisine: </strong>Latin<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-11-02<br><strong>Address: </strong>915 Avenue Saint John, Longwood<br>Margarita’s, serving Dominican cuisine, is a permanent version of what once was a food truck."
"Boishakhi","29-14 36th Avenue, Astoria","Bangladeshi","$","https://www.nytimes.com/2017/10/26/dining/boishakhi-review-bangladeshi-restaurant-queens.html","29-14 36th Avenue, Astoria, New York, NY",-73.9310007,40.7569552,"Astoria","Queens","At Boishakhi in Astoria, a steam table is laden with cuisine that evokes the Bay of Bengal.","Hungry City",2017-10-26,"<a href=""https://www.nytimes.com/2017/10/26/dining/boishakhi-review-bangladeshi-restaurant-queens.html"" target=""_blank"">Boishakhi</a><br><strong>Cuisine: </strong>Bangladeshi<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-10-26<br><strong>Address: </strong>29-14 36th Avenue, Astoria<br>At Boishakhi in Astoria, a steam table is laden with cuisine that evokes the Bay of Bengal."
"Yuan","157 Second Avenue, East Village","Chinese","$$","https://www.nytimes.com/2017/10/19/dining/yuan-review-chinese-noodles-nyc.html","157 Second Avenue, East Village, New York, NY",-73.9872039,40.7297339,"Lower Manhattan","Manhattan","The owner of Yuan brings the most famous dish from Guilin, in southern China, to southern Manhattan.","Hungry City",2017-10-19,"<a href=""https://www.nytimes.com/2017/10/19/dining/yuan-review-chinese-noodles-nyc.html"" target=""_blank"">Yuan</a><br><strong>Cuisine: </strong>Chinese<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-10-19<br><strong>Address: </strong>157 Second Avenue, East Village<br>The owner of Yuan brings the most famous dish from Guilin, in southern China, to southern Manhattan."
"Benyam","2795 Frederick Douglass Boulevard, Harlem","Ethiopian","$","https://www.nytimes.com/2017/10/12/dining/ethiopian-food-benyam-review-harlem.html","2795 Frederick Douglass Boulevard, Harlem, New York, NY",-73.9404597,40.8252001,"Upper Manhattan","Manhattan","At Benyam in Harlem, four siblings have set up a space filled with the work of New York street artists and cuisine straight out of Addis Ababa.","Hungry City",2017-10-12,"<a href=""https://www.nytimes.com/2017/10/12/dining/ethiopian-food-benyam-review-harlem.html"" target=""_blank"">Benyam</a><br><strong>Cuisine: </strong>Ethiopian<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-10-12<br><strong>Address: </strong>2795 Frederick Douglass Boulevard, Harlem<br>At Benyam in Harlem, four siblings have set up a space filled with the work of New York street artists and cuisine straight out of Addis Ababa."
"My Cuban Spot","488 Carroll Street, Gowanus","Caribbean, Latin","$","https://www.nytimes.com/2017/10/05/dining/my-cuban-spot-review-brooklyn.html","488 Carroll Street, Gowanus, New York, NY",-73.9861281,40.6769095,"Gowanus","Brooklyn","Louie Estrada, the chef, brings the food of his childhood to his slip of a storefront, modeled after the cafeterías and coffee windows of Miami.","Hungry City",2017-10-05,"<a href=""https://www.nytimes.com/2017/10/05/dining/my-cuban-spot-review-brooklyn.html"" target=""_blank"">My Cuban Spot</a><br><strong>Cuisine: </strong>Caribbean, Latin<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-10-05<br><strong>Address: </strong>488 Carroll Street, Gowanus<br>Louie Estrada, the chef, brings the food of his childhood to his slip of a storefront, modeled after the cafeterías and coffee windows of Miami."
"Warung Selasa","8512 Queens Boulevard, Elmhurst","Indonesian, Southeast Asian","$","https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html","8512 Queens Boulevard, Elmhurst, New York, NY",-73.878321,40.73657,"Flushing","Queens","Warung Selasa, a pop-up in Queens, is one of New York’s smallest restaurants. And Kopi Kopi in the Village keeps the Indonesian cuisine ‘light.’","Hungry City",2017-09-28,"<a href=""https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html"" target=""_blank"">Warung Selasa</a><br><strong>Cuisine: </strong>Indonesian, Southeast Asian<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-09-28<br><strong>Address: </strong>8512 Queens Boulevard, Elmhurst<br>Warung Selasa, a pop-up in Queens, is one of New York’s smallest restaurants. And Kopi Kopi in the Village keeps the Indonesian cuisine ‘light.’"
"Kopi Kopi","68 West 3rd Street, Greenwich Village","Indonesian, Southeast Asian","$$","https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html","68 West 3rd Street, Greenwich Village, New York, NY",-73.9983012,40.7293583,"Lower Manhattan","Manhattan","Warung Selasa, a pop-up in Queens, is one of New York’s smallest restaurants. And Kopi Kopi in the Village keeps the Indonesian cuisine ‘light.’","Hungry City",2017-09-28,"<a href=""https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html"" target=""_blank"">Kopi Kopi</a><br><strong>Cuisine: </strong>Indonesian, Southeast Asian<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-09-28<br><strong>Address: </strong>68 West 3rd Street, Greenwich Village<br>Warung Selasa, a pop-up in Queens, is one of New York’s smallest restaurants. And Kopi Kopi in the Village keeps the Indonesian cuisine ‘light.’"
"Wu’s Wonton King","165 East Broadway, Lower East Side","Chinese","$$","https://www.nytimes.com/2017/09/21/dining/wus-wonton-king-review-chinese-restaurant-nyc.html","165 East Broadway, Lower East Side, New York, NY",-73.989964,40.7138317,"Lower East Side","Manhattan","Some of the best dishes at Wu’s Wonton King on the Lower East Side are the simplest, along with the whole suckling pig.","Hungry City",2017-09-21,"<a href=""https://www.nytimes.com/2017/09/21/dining/wus-wonton-king-review-chinese-restaurant-nyc.html"" target=""_blank"">Wu’s Wonton King</a><br><strong>Cuisine: </strong>Chinese<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2017-09-21<br><strong>Address: </strong>165 East Broadway, Lower East Side<br>Some of the best dishes at Wu’s Wonton King on the Lower East Side are the simplest, along with the whole suckling pig."
"Tradita","292 East 204th Street, Norwood","Eastern European","$","https://www.nytimes.com/2017/09/14/dining/tradita-review-albanian-restaurant-bronx.html","292 East 204th Street, Norwood, New York, NY",-73.8789946,40.8731796,"West Bronx","Bronx","Tradita turns out savory, delightfully salty dishes oozing with cheese and packed with meats.","Hungry City",2017-09-14,"<a href=""https://www.nytimes.com/2017/09/14/dining/tradita-review-albanian-restaurant-bronx.html"" target=""_blank"">Tradita</a><br><strong>Cuisine: </strong>Eastern European<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-09-14<br><strong>Address: </strong>292 East 204th Street, Norwood<br>Tradita turns out savory, delightfully salty dishes oozing with cheese and packed with meats."
"Prontito","40-25 Forley Street, Elmhurst","Latin","$","https://www.nytimes.com/2017/09/07/dining/prontito-review-colombian-food-queens.html","40-25 Forley Street, Elmhurst, New York, NY",-73.880371,40.747748,"Flushing","Queens","This Colombian restaurant in Elmhurst specializes in glorious excess.","Hungry City",2017-09-07,"<a href=""https://www.nytimes.com/2017/09/07/dining/prontito-review-colombian-food-queens.html"" target=""_blank"">Prontito</a><br><strong>Cuisine: </strong>Latin<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-09-07<br><strong>Address: </strong>40-25 Forley Street, Elmhurst<br>This Colombian restaurant in Elmhurst specializes in glorious excess."
"While in Kathmandu","758 Seneca Avenue, Ridgewood","Asian","$","https://www.nytimes.com/2017/08/31/dining/while-in-kathmandu-review-queens.html","758 Seneca Avenue, Ridgewood, New York, NY",-73.9067489,40.7021207,"Ridgewood","Queens","A Nepali restaurant in Queens plunks its breakfast on a pancake, and blurs the border with American cooking.","Hungry City",2017-08-31,"<a href=""https://www.nytimes.com/2017/08/31/dining/while-in-kathmandu-review-queens.html"" target=""_blank"">While in Kathmandu</a><br><strong>Cuisine: </strong>Asian<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-08-31<br><strong>Address: </strong>758 Seneca Avenue, Ridgewood<br>A Nepali restaurant in Queens plunks its breakfast on a pancake, and blurs the border with American cooking."
"Sami’s Kabab House","35-57 Crescent Street, Astoria","Afghan","$","https://www.nytimes.com/2017/08/24/dining/samis-kabab-house-review-queens.html","35-57 Crescent Street, Astoria, New York, NY",-73.9328724,40.7583564,"Long Island City","Queens","The menu is brief and unfussy at this Astoria restaurant, drawing in part from the ancestry of its owner, Sami Zaman, and offering simple, gratifying dishes.","Hungry City",2017-08-24,"<a href=""https://www.nytimes.com/2017/08/24/dining/samis-kabab-house-review-queens.html"" target=""_blank"">Sami’s Kabab House</a><br><strong>Cuisine: </strong>Afghan<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2017-08-24<br><strong>Address: </strong>35-57 Crescent Street, Astoria<br>The menu is brief and unfussy at this Astoria restaurant, drawing in part from the ancestry of its owner, Sami Zaman, and offering simple, gratifying dishes."
